yr,site,tree,fruit,diam1,diam2,fw
16,bd,3,6,52,79,212
16,bd,3,7,49,74,181
16,bd,3,8,48,75,185
16,bd,3,9,59,86,259
16,bd,3,10,53,81,230
16,bd,4,1,46,73,164
16,bd,4,2,55,84,250
16,bd,4,3,53,93,318
16,bd,4,4,50,81,215
16,bd,4,6,52,83,242
16,bd,4,7,53,83,223
16,bd,4,8,51,81,219
16,bd,4,9,56,89,287
16,bd,4,10,59,91,300
16,bd,5,1,46,74,167
16,bd,5,2,50,79,225
16,bd,5,3,46,76,177
16,bd,5,4,51,75,198
16,bd,5,5,50,81,215
16,bd,5,6,49,76,176
16,bd,5,7,53,82,234
16,bd,5,8,50,77,200
16,bd,5,10,45,74,165
16,bd,6,2,47,75,187
16,bd,6,3,46,75,167
16,bd,6,4,53,81,202
16,bd,6,7,49,77,203
16,bd,6,8,53,80,217
16,bd,6,9,52,81,250
16,bd,6,10,46,71,160
16,bd,7,1,52,80,214
16,bd,7,2,55,82,221
16,bd,7,3,55,62,105
16,bd,7,4,51,81,220
16,bd,7,5,48,78,192
16,bd,7,6,53,83,236
16,bd,7,7,51,75,184
16,bd,7,8,52,78,204
16,bd,7,9,51,74,168
16,bd,7,10,60,93,316
16,bd,8,2,54,85,243
16,bd,8,3,58,89,295
16,bd,8,4,54,83,227
16,bd,8,6,56,87,274
16,bd,8,8,49,77,186
16,bd,8,9,50,81,214
16,bd,8,10,52,83,243
16,bd,9,1,48,75,175
16,bd,9,2,50,76,198
16,bd,9,3,50,82,220
16,bd,9,4,49,77,220
16,bd,9,5,45,75,183
16,bd,9,6,47,73,168
16,bd,9,7,62,91,295
16,bd,9,8,50,80,207
16,bd,9,9,51,80,211
16,bd,9,10,49,81,216
16,bd,10,1,52,82,257
16,bd,10,2,57,89,303
16,bd,10,3,54,82,246
16,bd,10,4,52,82,230
16,bd,10,5,52,82,243
16,bd,10,6,49,79,204
16,bd,10,7,47,74,175
16,bd,10,8,60,90,324
16,bd,10,9,47,72,178
16,bd,10,10,54,81,220
17,bv,3,1,40,76,201
17,bv,3,3,48,88,288
17,bv,3,5,53,88,296
17,bv,3,6,42,84,269
17,bv,3,7,46,88,314
17,bv,3,8,45,83,266
17,bv,3,9,47,76,200
17,bv,2,0,48,92,360
17,bv,2,1,44,79,225
17,bv,2,3,37,72,168
17,bv,2,5,43,84,269
17,bv,2,7,40,77,221
17,bv,2,8,41,81,215
17,bv,2,9,47,91,335
17,bv,1,0,43,80,237
17,bv,1,1,41,78,215
17,bv,1,2,46,72,178
17,bv,1,4,46,80,238
17,bv,1,5,50,102,476
17,bv,1,6,45,91,353
17,bv,1,7,45,86,293
17,bv,1,9,41,90,309
17,bv,6,0,47,88,319
17,bv,6,1,42,83,232
17,bv,6,2,44,88,277
17,bv,6,3,39,79,213
17,bv,6,6,40,77,226
17,bv,6,7,40,80,232
17,bv,6,8,48,91,340
17,bv,5,0,47,85,278
17,bv,5,1,50,95,376
17,bv,5,2,36,71,164
17,bv,5,3,29,71,150
17,bv,5,4,40,83,239
17,bv,5,5,47,92,362
17,bv,5,6,46,90,352
17,bv,5,7,50,94,398
17,bv,5,8,48,90,333
17,bv,5,9,49,91,336
17,bv,4,0,50,76,190
17,bv,4,1,40,84,256
17,bv,4,2,38,76,193
17,bv,4,3,43,80,229
17,bv,4,4,37,86,280
17,bv,4,6,37,75,190
17,bv,4,7,44,85,292
17,bv,4,8,39,76,198
17,bv,4,9,45,85,297
17,bv,9,2,48,89,340
17,bv,9,3,46,85,295
17,bv,9,4,46,90,371
17,bv,9,5,44,84,295
17,bv,9,6,45,83,267
17,bv,9,7,54,99,433
17,bv,9,8,45,89,302
17,bv,9,9,44,86,288
17,bv,8,0,33,79,214
17,bv,8,1,50,92,372
17,bv,8,2,49,89,305
17,bv,8,3,50,96,414
17,bv,8,4,45,79,222
17,bv,8,5,47,91,361
17,bv,8,6,40,77,208
17,bv,7,0,37,74,180
17,bv,7,1,44,82,254
17,bv,7,2,41,77,235
17,bv,7,3,42,82,260
17,bv,7,4,47,90,330
17,bv,7,5,49,90,334
17,bv,7,6,48,94,408
17,bv,7,7,45,84,236
17,bv,7,9,44,86,300
17,bv,12,1,47,93,404
17,bv,12,2,49,94,335
17,bv,12,3,50,95,402
17,bv,12,4,45,84,275
17,bv,12,5,43,84,251
17,bv,12,6,48,93,352
17,bv,12,7,47,91,340
17,bv,12,8,45,89,322
17,bv,12,9,48,90,337
17,rs,12,20,42,92,293
17,rs,12,18,42,91,315
17,rs,12,17,42,91,352
17,rs,12,16,36,70,163
17,rs,12,14,47,92,235
17,rs,12,13,50,96,374
17,rs,12,12,44,90,303
17,rs,1,10,47,90,282
17,rs,1,9,47,95,308
17,rs,1,8,49,90,328
17,rs,1,7,44,89,310
17,rs,1,6,43,85,301
17,rs,1,5,43,82,220
17,rs,1,4,39,72,169
17,rs,1,3,37,70,150
17,rs,1,2,45,86,242
17,rs,1,1,38,81,248
17,rs,13,21,42,82,264
17,rs,13,22,45,81,213
17,rs,13,23,45,81,230
17,rs,13,24,40,80,228
17,rs,13,25,42,84,269
17,rs,13,26,46,91,347
17,rs,13,28,40,72,181
17,rs,13,29,35,65,125
17,rs,13,30,37,69,147
17,rs,13,31,44,83,244
17,rs,13,32,41,71,211
17,rs,13,33,43,82,235
17,rs,13,36,47,89,285
17,rs,13,37,44,86,265
17,rs,13,39,43,83,237
17,rs,13,41,47,92,325
17,rs,13,42,40,81,248
17,rs,13,43,48,90,326
17,rs,13,44,42,79,197
17,rs,13,45,42,82,210
17,rs,13,46,42,86,244
17,rs,13,47,39,72,154
17,rs,13,48,41,83,282
17,rs,13,49,44,99,330
17,rs,13,50,43,87,314
17,bd,3,1,45,86,290
17,bd,3,3,38,80,233
17,bd,3,4,43,86,298
17,bd,3,5,38,80,235
17,bd,3,6,38,82,216
17,bd,3,7,39,80,233
17,bd,3,8,35,73,171
17,bd,3,9,38,80,236
