diameter,weight,cultivar
86,259,fuji
81,230,fuji
73,164,fuji
84,250,fuji
93,318,fuji
81,215,fuji
83,242,fuji
83,223,fuji
81,219,fuji
89,287,fuji
91,300,fuji
74,167,fuji
79,225,fuji
76,177,fuji
75,198,fuji
81,215,fuji
76,176,fuji
82,234,fuji
77,200,fuji
74,165,fuji
75,187,fuji
75,167,fuji
81,202,fuji
77,203,fuji
80,217,fuji
81,250,fuji
71,160,fuji
80,214,fuji
82,221,fuji
62,105,fuji
81,220,fuji
78,192,fuji
83,236,fuji
75,184,fuji
78,204,fuji
74,168,fuji
93,316,fuji
85,243,fuji
89,295,fuji
83,227,fuji
87,274,fuji
77,186,fuji
81,214,fuji
83,243,fuji
75,175,fuji
76,198,fuji
82,220,fuji
77,220,fuji
75,183,fuji
73,168,fuji
91,295,fuji
80,207,fuji
80,211,fuji
81,216,fuji
82,257,fuji
89,303,fuji
82,246,fuji
82,230,fuji
82,243,fuji
79,204,fuji
74,175,fuji
90,324,fuji
72,178,fuji
81,220,fuji
76,201,fuji
88,288,fuji
88,296,fuji
84,269,fuji
88,314,fuji
83,266,fuji
76,200,fuji
92,360,fuji
79,225,fuji
72,168,fuji
84,269,fuji
77,221,fuji
81,215,fuji
91,335,fuji
80,237,fuji
78,215,fuji
72,178,fuji
80,238,fuji
102,476,fuji
91,353,fuji
86,293,fuji
90,309,fuji
88,319,fuji
83,232,fuji
88,277,fuji
79,213,fuji
77,226,fuji
80,232,fuji
91,340,fuji
85,278,fuji
95,376,fuji
71,164,fuji
71,150,fuji
83,239,fuji
92,362,fuji
90,352,fuji
94,398,fuji
90,333,fuji
91,336,fuji
76,190,fuji
84,256,fuji
76,193,fuji
80,229,fuji
86,280,fuji
75,190,fuji
85,292,fuji
76,198,fuji
85,297,fuji
89,340,fuji
85,295,fuji
90,371,fuji
84,295,fuji
83,267,fuji
99,433,fuji
89,302,fuji
86,288,fuji
79,214,fuji
92,372,fuji
89,305,fuji
96,414,fuji
79,222,fuji
91,361,fuji
77,208,fuji
74,180,fuji
82,254,fuji
77,235,fuji
82,260,fuji
90,330,fuji
90,334,fuji
94,408,fuji
84,236,fuji
86,300,fuji
93,404,fuji
94,335,fuji
95,402,fuji
84,275,fuji
84,251,fuji
93,352,fuji
91,340,fuji
89,322,fuji
90,337,fuji
92,293,fuji
91,315,fuji
91,352,fuji
70,163,fuji
92,235,fuji
96,374,fuji
90,303,fuji
90,282,fuji
95,308,fuji
90,328,fuji
89,310,fuji
85,301,fuji
82,220,fuji
72,169,fuji
70,150,fuji
86,242,fuji
81,248,fuji
82,264,fuji
81,213,fuji
81,230,fuji
80,228,fuji
84,269,fuji
91,347,fuji
72,181,fuji
65,125,fuji
69,147,fuji
83,244,fuji
71,211,fuji
82,235,fuji
89,285,fuji
86,265,fuji
83,237,fuji
92,325,fuji
81,248,fuji
90,326,fuji
79,197,fuji
82,210,fuji
86,244,fuji
72,154,fuji
83,282,fuji
99,330,fuji
87,314,fuji
86,290,fuji
80,233,fuji
86,298,fuji
80,235,fuji
82,216,fuji
80,233,fuji
73,171,fuji
80,236,fuji
72,168,fuji
79,214,fuji
77,189,fuji
86,276,fuji
64,248,fuji
83,260,fuji
78,204,fuji
74,181,fuji
